Date,Day_No.,1_or_0,RelativeFrequency,PercentageTripperHour,HourofDay
1/1/2019,2,0,0.007,0.014,0:00:00
1/1/2019,2,0,0.003,0.006,1:00:00
1/1/2019,2,0,0.001,0.002,2:00:00
1/1/2019,2,0,0.001,0.002,3:00:00
1/1/2019,2,0,0.001,0.002,4:00:00
1/1/2019,2,0,0.002,0.004,5:00:00
1/1/2019,2,0,0.007,0.014,6:00:00
1/1/2019,2,0,0.024,0.048,7:00:00
1/1/2019,2,1,0.039,0.078,8:00:00
1/1/2019,2,1,0.028,0.056,9:00:00
1/1/2019,2,1,0.025,0.05,10:00:00
1/1/2019,2,1,0.025,0.05,11:00:00
1/1/2019,2,1,0.031,0.062,12:00:00
1/1/2019,2,1,0.037,0.074,13:00:00
1/1/2019,2,1,0.031,0.062,14:00:00
1/1/2019,2,1,0.026,0.052,15:00:00
1/1/2019,2,1,0.031,0.062,16:00:00
1/1/2019,2,0,0.037,0.074,17:00:00
1/1/2019,2,0,0.043,0.086,18:00:00
1/1/2019,2,0,0.041,0.082,19:00:00
1/1/2019,2,0,0.028,0.056,20:00:00
1/1/2019,2,0,0.016,0.032,21:00:00
1/1/2019,2,0,0.011,0.022,22:00:00
1/1/2019,2,0,0.01,0.02,23:00:00
1/2/2019,3,0,0.008,0.016,0:00:00
1/2/2019,3,0,0.004,0.008,1:00:00
1/2/2019,3,0,0.001,0.002,2:00:00
1/2/2019,3,0,0.001,0.002,3:00:00
1/2/2019,3,0,0.001,0.002,4:00:00
1/2/2019,3,0,0.002,0.004,5:00:00
1/2/2019,3,0,0.007,0.014,6:00:00
1/2/2019,3,0,0.025,0.05,7:00:00
1/2/2019,3,1,0.038,0.076,8:00:00
1/2/2019,3,1,0.028,0.056,9:00:00
1/2/2019,3,1,0.025,0.05,10:00:00
1/2/2019,3,1,0.025,0.05,11:00:00
1/2/2019,3,1,0.032,0.064,12:00:00
1/2/2019,3,1,0.037,0.074,13:00:00
1/2/2019,3,1,0.031,0.062,14:00:00
1/2/2019,3,1,0.026,0.052,15:00:00
1/2/2019,3,1,0.031,0.062,16:00:00
1/2/2019,3,0,0.036,0.072,17:00:00
1/2/2019,3,0,0.042,0.084,18:00:00
1/2/2019,3,0,0.041,0.082,19:00:00
1/2/2019,3,0,0.028,0.056,20:00:00
