,,,Sunrise,Sunset,HourofDay,Day,Day_No
1/1/2019,7:45:26,0:00:00,Tuesday,"222,652",0.013999999999999999,Night,0
1/1/2019,,1:00:00,Tuesday,"222,652",0.006,Night,0
1/1/2019,,2:00:00,Tuesday,"222,652",0.002,Night,0
1/1/2019,,3:00:00,Tuesday,"222,652",0.002,Night,0
1/1/2019,,4:00:00,Tuesday,"222,652",0.002,Night,0
1/1/2019,,5:00:00,Tuesday,"222,652",0.004,Night,0
1/1/2019,,6:00:00,Tuesday,"222,652",0.013999999999999999,Night,0
1/1/2019,,7:00:00,Tuesday,"222,652",0.048,Night,0
1/1/2019,,8:00:00,Tuesday,"222,652",0.078,Day,1
1/1/2019,,9:00:00,Tuesday,"222,652",0.055999999999999994,Day,1
1/1/2019,,10:00:00,Tuesday,"222,652",0.05,Day,1
1/1/2019,,11:00:00,Tuesday,"222,652",0.05,Day,1
1/1/2019,,12:00:00,Tuesday,"222,652",0.062,Day,1
1/1/2019,,13:00:00,Tuesday,"222,652",0.07400000000000001,Day,1
1/1/2019,,14:00:00,Tuesday,"222,652",0.062,Day,1
1/1/2019,,15:00:00,Tuesday,"222,652",0.052000000000000005,Day,1
1/1/2019,,16:00:00,Tuesday,"222,652",0.062,Day,1
1/1/2019,,17:00:00,Tuesday,"222,652",0.07400000000000001,Night,0
1/1/2019,,18:00:00,Tuesday,"222,652",0.086,Night,0
1/1/2019,,19:00:00,Tuesday,"222,652",0.08199999999999999,Night,0
1/1/2019,,20:00:00,Tuesday,"222,652",0.055999999999999994,Night,0
1/1/2019,,21:00:00,Tuesday,"222,652",0.032,Night,0
1/1/2019,,22:00:00,Tuesday,"222,652",0.022000000000000002,Night,0
1/1/2019,,23:00:00,Tuesday,"222,652",0.02,Night,0
1/2/2019,7:46:39,0:00:00,Wednesday,"180,019",0.016,Night,0
1/2/2019,,1:00:00,Wednesday,"180,019",0.008,Night,0
1/2/2019,,2:00:00,Wednesday,"180,019",0.002,Night,0
1/2/2019,,3:00:00,Wednesday,"180,019",0.002,Night,0
1/2/2019,,4:00:00,Wednesday,"180,019",0.002,Night,0
1/2/2019,,5:00:00,Wednesday,"180,019",0.004,Night,0
1/2/2019,,6:00:00,Wednesday,"180,019",0.013999999999999999,Night,0
1/2/2019,,7:00:00,Wednesday,"180,019",0.05,Night,0
1/2/2019,,8:00:00,Wednesday,"180,019",0.076,Day,1
1/2/2019,,9:00:00,Wednesday,"180,019",0.055999999999999994,Day,1
1/2/2019,,10:00:00,Wednesday,"180,019",0.05,Day,1
1/2/2019,,11:00:00,Wednesday,"180,019",0.05,Day,1
1/2/2019,,12:00:00,Wednesday,"180,019",0.064,Day,1
1/2/2019,,13:00:00,Wednesday,"180,019",0.07400000000000001,Day,1
1/2/2019,,14:00:00,Wednesday,"180,019",0.062,Day,1
1/2/2019,,15:00:00,Wednesday,"180,019",0.052000000000000005,Day,1
1/2/2019,,16:00:00,Wednesday,"180,019",0.062,Day,1
1/2/2019,,17:00:00,Wednesday,"180,019",0.07200000000000001,Night,0
1/2/2019,,18:00:00,Wednesday,"180,019",0.084,Night,0
1/2/2019,,19:00:00,Wednesday,"180,019",0.08199999999999999,Night,0
1/2/2019,,20:00:00,Wednesday,"180,019",0.055999999999999994,Night,0
1/2/2019,,21:00:00,Wednesday,"180,019",0.036000000000000004,Night,0
1/2/2019,,22:00:00,Wednesday,"180,019",0.024,Night,0
1/2/2019,,23:00:00,Wednesday,"180,019",0.02,Night,0
1/3/2019,7:48:00,0:00:00,Thursday,"182,741",0.02,Night,0
1/3/2019,,1:00:00,Thursday,"182,741",0.012,Night,0
1/3/2019,,2:00:00,Thursday,"182,741",0.002,Night,0
1/3/2019,,3:00:00,Thursday,"182,741",0.002,Night,0
1/3/2019,,4:00:00,Thursday,"182,741",0.002,Night,0
1/3/2019,,5:00:00,Thursday,"182,741",0.004,Night,0
1/3/2019,,6:00:00,Thursday,"182,741",0.013999999999999999,Night,0
1/3/2019,,7:00:00,Thursday,"182,741",0.05,Night,0
1/3/2019,,8:00:00,Thursday,"182,741",0.078,Day,1
1/3/2019,,9:00:00,Thursday,"182,741",0.057999999999999996,Day,1
1/3/2019,,10:00:00,Thursday,"182,741",0.05,Day,1
1/3/2019,,11:00:00,Thursday,"182,741",0.052000000000000005,Day,1
1/3/2019,,12:00:00,Thursday,"182,741",0.064,Day,1
1/3/2019,,13:00:00,Thursday,"182,741",0.07400000000000001,Day,1
1/3/2019,,14:00:00,Thursday,"182,741",0.06,Day,1
1/3/2019,,15:00:00,Thursday,"182,741",0.052000000000000005,Day,1
1/3/2019,,16:00:00,Thursday,"182,741",0.062,Day,1
1/3/2019,,17:00:00,Thursday,"182,741",0.07200000000000001,Night,0
1/3/2019,,18:00:00,Thursday,"182,741",0.08199999999999999,Night,0
1/3/2019,,19:00:00,Thursday,"182,741",0.08,Night,0
